Country/Region,Province/State,Admin2,Population
US,Florida,Monroe,75027
US,Florida,Nassau,85832
US,Florida,Okaloosa,207269
US,Florida,Okeechobee,41537
US,Florida,Orange,1380645
US,Florida,Osceola,367990
US,Florida,Palm Beach,1485941
US,Florida,Pasco,539630
US,Florida,Pinellas,975280
US,Florida,Polk,708009
US,Florida,Putnam,74163
US,Florida,St. Johns,254261
US,Florida,St. Lucie,321128
US,Florida,Santa Rosa,179349
US,Florida,Sarasota,426718
US,Florida,Seminole,467832
US,Florida,Sumter,128754
US,Florida,Suwannee,44191
US,Florida,Taylor,21623
US,Florida,Union,14940
US,Florida,Volusia,547538
US,Florida,Wakulla,32461
US,Florida,Walton,71375
US,Florida,Washington,24880
US,Georgia,Appling,18507
US,Georgia,Atkinson,8297
US,Georgia,Bacon,11185
US,Georgia,Baker,3092
US,Georgia,Baldwin,44823
US,Georgia,Banks,18988
US,Georgia,Barrow,80809
US,Georgia,Bartow,106408
US,Georgia,Ben Hill,16787
US,Georgia,Berrien,19252
US,Georgia,Bibb,153095
US,Georgia,Bleckley,12838
US,Georgia,Brantley,18897
US,Georgia,Brooks,15513
US,Georgia,Bryan,38109
US,Georgia,Bulloch,77296
US,Georgia,Burke,22423
US,Georgia,Butts,24193
US,Georgia,Calhoun,6352
US,Georgia,Camden,53677
US,Georgia,Candler,10836
US,Georgia,Carroll,118121
US,Georgia,Catoosa,67420
US,Georgia,Charlton,12968
US,Georgia,Chatham,289195
US,Georgia,Chattahoochee,10684
US,Georgia,Chattooga,24790
US,Georgia,Cherokee,254149
US,Georgia,Clarke,127330
US,Georgia,Clay,2887
US,Georgia,Clayton,289615
US,Georgia,Clinch,6648
US,Georgia,Cobb,756865
US,Georgia,Coffee,43093
US,Georgia,Colquitt,45592
US,Georgia,Columbia,154291
US,Georgia,Cook,17162
US,Georgia,Coweta,145864
US,Georgia,Crawford,12318
US,Georgia,Crisp,22601
US,Georgia,Dade,16226
US,Georgia,Dawson,25083
US,Georgia,Decatur,26575
US,Georgia,DeKalb,756558
US,Georgia,Dodge,20705
US,Georgia,Dooly,13706
US,Georgia,Dougherty,91243
US,Georgia,Douglas,145331
US,Georgia,Early,10247
US,Georgia,Echols,4000
US,Georgia,Effingham,62190
US,Georgia,Elbert,19120
US,Georgia,Emanuel,22612
US,Georgia,Evans,10721
US,Georgia,Fannin,25964
US,Georgia,Fayette,113459
US,Georgia,Floyd,97927
US,Georgia,Forsyth,236612
US,Georgia,Franklin,23023
US,Georgia,Fulton,1050114
US,Georgia,Gilmer,30816
US,Georgia,Glascock,2995
US,Georgia,Glynn,85219
US,Georgia,Gordon,57685
US,Georgia,Grady,24748
US,Georgia,Greene,17698
US,Georgia,Gwinnett,927781
US,Georgia,Habersham,45388
US,Georgia,Hall,202148
US,Georgia,Hancock,8348
US,Georgia,Haralson,29533
US,Georgia,Harris,34475
US,Georgia,Hart,26099
US,Georgia,Heard,11879
US,Georgia,Henry,230220
US,Georgia,Houston,155469
US,Georgia,Irwin,9398
US,Georgia,Jackson,70422
US,Georgia,Jasper,14040
US,Georgia,Jeff Davis,15029
US,Georgia,Jefferson,15430
US,Georgia,Jenkins,8683
US,Georgia,Johnson,9708
US,Georgia,Jones,28616
US,Georgia,Lamar,19000
US,Georgia,Lanier,10340
US,Georgia,Laurens,47325
US,Georgia,Lee,29764
US,Georgia,Liberty,61497
US,Georgia,Lincoln,7915
US,Georgia,Long,18998
US,Georgia,Lowndes,116321
US,Georgia,Lumpkin,32955
US,Georgia,McDuffie,21531
US,Georgia,McIntosh,14340
US,Georgia,Macon,13143
US,Georgia,Madison,29650
US,Georgia,Marion,8351
US,Georgia,Meriwether,21068
US,Georgia,Miller,5686
US,Georgia,Mitchell,22192
US,Georgia,Monroe,27520
US,Georgia,Montgomery,9193
US,Georgia,Morgan,18853
US,Georgia,Murray,39921
US,Georgia,Muscogee,194160
US,Georgia,Newton,109541
US,Georgia,Oconee,39272
US,Georgia,Oglethorpe,15054
US,Georgia,Paulding,164044
US,Georgia,Peach,27297
US,Georgia,Pickens,31980
US,Georgia,Pierce,19389
US,Georgia,Pike,18634
US,Georgia,Polk,42470
US,Georgia,Pulaski,11069
US,Georgia,Putnam,21809
US,Georgia,Quitman,2279
US,Georgia,Rabun,16867
US,Georgia,Randolph,6833
US,Georgia,Richmond,201554
US,Georgia,Rockdale,90594
US,Georgia,Schley,5236
US,Georgia,Screven,13938
US,Georgia,Seminole,8315
US,Georgia,Spalding,66100
US,Georgia,Stephens,26035
US,Georgia,Stewart,6199
US,Georgia,Sumter,29733
US,Georgia,Talbot,6272
US,Georgia,Taliaferro,1608
US,Georgia,Tattnall,25391
US,Georgia,Taylor,8039
US,Georgia,Telfair,15876
US,Georgia,Terrell,8611
US,Georgia,Thomas,44448
US,Georgia,Tift,40571
US,Georgia,Toombs,26887
US,Georgia,Towns,11852
US,Georgia,Treutlen,6809
US,Georgia,Troup,70034
US,Georgia,Turner,7912
US,Georgia,Twiggs,8188
US,Georgia,Union,24001
US,Georgia,Upson,26215
US,Georgia,Walker,69410
US,Georgia,Walton,93503
US,Georgia,Ware,35680
US,Georgia,Warren,5251
US,Georgia,Washington,20386
US,Georgia,Wayne,29808
US,Georgia,Webster,2611
US,Georgia,Wheeler,7879
US,Georgia,White,29970
US,Georgia,Whitfield,104062
US,Georgia,Wilcox,8812
US,Georgia,Wilkes,9876
US,Georgia,Wilkinson,9036
US,Georgia,Worth,20299
US,Hawaii,Hawaii,200983
US,Hawaii,Honolulu,980080
US,Hawaii,Kalawao,88
US,Hawaii,Kauai,72133
US,Hawaii,Maui,167207
US,Idaho,Ada,469966
US,Idaho,Adams,4250
US,Idaho,Bannock,87138
US,Idaho,Bear Lake,6050
US,Idaho,Benewah,9226
US,Idaho,Bingham,46236
US,Idaho,Blaine,22601
US,Idaho,Boise,7634
US,Idaho,Bonner,44727
US,Idaho,Bonneville,116854
US,Idaho,Boundary,11948
US,Idaho,Butte,2611
US,Idaho,Camas,1127
US,Idaho,Canyon,223499
US,Idaho,Caribou,7060
US,Idaho,Cassia,23864
US,Idaho,Clark,852
US,Idaho,Clearwater,8758
US,Idaho,Custer,4280
US,Idaho,Elmore,27259
US,Idaho,Franklin,13726
US,Idaho,Fremont,13168
US,Idaho,Gem,17634
US,Idaho,Gooding,15196
US,Idaho,Idaho,16513
US,Idaho,Jefferson,29439
US,Idaho,Jerome,24015
US,Idaho,Kootenai,161505
US,Idaho,Latah,40134
US,Idaho,Lemhi,7961
US,Idaho,Lewis,3861
US,Idaho,Lincoln,5360
US,Idaho,Madison,39304
US,Idaho,Minidoka,20825
US,Idaho,Nez Perce,40408
US,Idaho,Oneida,4488
US,Idaho,Owyhee,11693
US,Idaho,Payette,23551
US,Idaho,Power,7768
US,Idaho,Shoshone,12796
US,Idaho,Teton,11640
US,Idaho,Twin Falls,86081
US,Idaho,Valley,11041
US,Idaho,Washington,10161
US,Illinois,Adams,65691
US,Illinois,Alexander,6060
US,Illinois,Bond,16630
US,Illinois,Boone,53577
US,Illinois,Brown,6556
US,Illinois,Bureau,32993
US,Illinois,Calhoun,4802
US,Illinois,Carroll,14312
US,Illinois,Cass,12260
US,Illinois,Champaign,209983
US,Illinois,Christian,32661
US,Illinois,Clark,15596
US,Illinois,Clay,13253
US,Illinois,Clinton,37639
US,Illinois,Coles,50885
US,Illinois,Cook,5180493
US,Illinois,Crawford,18807
US,Illinois,Cumberland,10808
US,Illinois,DeKalb,104143
US,Illinois,De Witt,15769
US,Illinois,Douglas,19479
US,Illinois,DuPage,928589
US,Illinois,Edgar,17360
US,Illinois,Edwards,6392
US,Illinois,Effingham,34208
US,Illinois,Fayette,21416
US,Illinois,Ford,13264
US,Illinois,Franklin,38701
US,Illinois,Fulton,34844
US,Illinois,Gallatin,5058
US,Illinois,Greene,13044
US,Illinois,Grundy,50972
US,Illinois,Hamilton,8163
US,Illinois,Hancock,17844
US,Illinois,Hardin,3910
US,Illinois,Henderson,6709
US,Illinois,Henry,49090
US,Illinois,Iroquois,27604
US,Illinois,Jackson,57419
US,Illinois,Jasper,9611
US,Illinois,Jefferson,37820
US,Illinois,Jersey,21847
US,Illinois,Jo Daviess,21366
US,Illinois,Johnson,12456
US,Illinois,Kane,534216
US,Illinois,Kankakee,110024
US,Illinois,Kendall,127915
US,Illinois,Knox,50112
US,Illinois,Lake,700832
US,Illinois,LaSalle,109430
US,Illinois,Lawrence,15765
US,Illinois,Lee,34223
US,Illinois,Livingston,35761
US,Illinois,Logan,28925
US,Illinois,McDonough,29955
US,Illinois,McHenry,308570
US,Illinois,McLean,172828
US,Illinois,Macon,104712
US,Illinois,Macoupin,45313
US,Illinois,Madison,264461
US,Illinois,Marion,37620
US,Illinois,Marshall,11534
US,Illinois,Mason,13565
US,Illinois,Massac,14080
US,Illinois,Menard,12288
US,Illinois,Mercer,15601
US,Illinois,Monroe,34335
US,Illinois,Montgomery,28601
US,Illinois,Morgan,33976
US,Illinois,Moultrie,14717
US,Illinois,Ogle,50923
US,Illinois,Peoria,180621
US,Illinois,Perry,21174
US,Illinois,Piatt,16396
US,Illinois,Pike,15611
US,Illinois,Pope,4212
US,Illinois,Pulaski,5463
US,Illinois,Putnam,5740
US,Illinois,Randolph,32106
US,Illinois,Richland,15763
US,Illinois,Rock Island,143477
US,Illinois,St. Clair,261059
US,Illinois,Saline,23906
US,Illinois,Sangamon,195348
US,Illinois,Schuyler,6907
US,Illinois,Scott,4926
US,Illinois,Shelby,21741
US,Illinois,Stark,5427
US,Illinois,Stephenson,44753
US,Illinois,Tazewell,132328
US,Illinois,Union,16841
US,Illinois,Vermilion,76806
US,Illinois,Wabash,11549
US,Illinois,Warren,17032
US,Illinois,Washington,13995
US,Illinois,Wayne,16332
US,Illinois,White,13665
US,Illinois,Whiteside,55626
US,Illinois,Will,692310
US,Illinois,Williamson,67056
US,Illinois,Winnebago,284081
US,Illinois,Woodford,38463
US,Indiana,Adams,35636
US,Indiana,Allen,375351
US,Indiana,Bartholomew,82753
US,Indiana,Benton,8653
US,Indiana,Blackford,11930
US,Indiana,Boone,66999
US,Indiana,Brown,15234
US,Indiana,Carroll,20127
