Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-02-03,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-03,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-03,Taiwan*,10,0,0,10,10,0,0,10,10,23604265,0,0,0,0,0
2020-02-03,Thailand,19,0,0,19,19,0,0,19,19,66484342,0,0,0,0,0
2020-02-03,US,11,0,0,11,8,0,0,8,8,329493716,3,0,0,3,0
2020-02-03,United Arab Emirates,5,0,0,5,5,0,0,5,4,9890400,0,0,0,0,1
2020-02-03,United Kingdom,2,0,0,2,2,0,0,2,2,66435600,0,0,0,0,0
2020-02-03,Vietnam,8,0,0,8,6,0,0,6,6,96208984,2,0,0,2,0
2020-02-04,Australia,13,0,0,13,12,0,0,12,12,25654023,1,0,0,1,0
2020-02-04,Belgium,1,0,0,1,,,,,,11524454,,,,,
2020-02-04,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-04,Canada,4,0,0,4,4,0,0,4,4,37966227,0,0,0,0,0
2020-02-04,China,23707,491,0,23216,19716,425,0,19291,16630,1401870440,3991,66,0,3925,3086
2020-02-04,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-04,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-04,Germany,12,0,0,12,12,0,0,12,10,83149300,0,0,0,0,2
2020-02-04,India,3,0,0,3,3,0,0,3,2,1360094159,0,0,0,0,1
2020-02-04,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-04,Japan,22,0,0,22,20,0,0,20,20,126010000,2,0,0,2,0
2020-02-04,"Korea, South",16,0,0,16,15,0,0,15,15,51780579,1,0,0,1,0
2020-02-04,Malaysia,10,0,0,10,8,0,0,8,8,32726760,2,0,0,2,0
2020-02-04,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-04,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-04,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-04,Singapore,24,0,0,24,18,0,0,18,18,5703600,6,0,0,6,0
2020-02-04,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-04,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-04,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
