Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Previous Week Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed,Weekly Confirmed
2020-12-11,Iceland,5539,28,0,5511,5524,28,0,5496,5516,5462,364260,15,0,0,15,8,77
2020-12-11,India,9826775,142628,0,9684147,9796744,142185,0,9654559,9767371,9608211,1360094159,30031,443,0,29588,29373,218564
2020-12-11,Indonesia,605243,18511,0,586732,598933,18336,0,580597,592900,563680,266911900,6310,175,0,6135,6033,41563
2020-12-11,Iran,1092407,51727,0,1040680,1083023,51496,0,1031527,1072620,1016835,83301053,9384,231,0,9153,10403,75572
2020-12-11,Iraq,572600,12549,0,560051,571253,12526,0,558727,569873,560622,39127900,1347,23,0,1324,1380,11978
2020-12-11,Ireland,75507,2120,0,73387,75203,2117,0,73086,74900,73491,4921500,304,3,0,301,303,2016
2020-12-11,Israel,353269,2969,0,350300,352397,2961,0,349436,350271,342101,9175050,872,8,0,864,2126,11168
2020-12-11,Italy,1805873,63387,0,1742486,1787147,62626,0,1724521,1770149,1688939,60243406,18726,761,0,17965,16998,116934
2020-12-11,Jamaica,11509,270,0,11239,11443,270,0,11173,11369,10987,2726667,66,0,0,66,74,522
2020-12-11,Japan,175310,2446,0,172864,172406,2395,0,170011,169429,158387,126010000,2904,51,0,2853,2977,16923
2020-12-11,Jordan,255459,3286,0,252173,253121,3250,0,249871,250219,234353,10641432,2338,36,0,2302,2902,21106
2020-12-11,Kazakhstan,184557,2551,0,182006,183630,2550,0,181080,182657,178378,18667696,927,1,0,926,973,6179
2020-12-11,Kenya,90978,1582,0,89396,90305,1568,0,88737,89661,87249,47564296,673,14,0,659,644,3729
2020-12-11,"Korea, South",41736,578,0,41158,40786,572,0,40214,40098,36915,51780579,950,6,0,944,688,4821
2020-12-11,Kosovo,45594,1174,0,44420,45004,1161,0,43843,44442,40117,1795666,590,13,0,577,562,5477
2020-12-11,Kuwait,145789,910,0,144879,145495,910,0,144585,145204,143917,4420110,294,0,0,294,291,1872
